ID,Path,Foil
1,"[(4, 1), (4, 2), (3, 2), (3, 1), (2, 1), (2, 2), (2, 3)]","[(4, 1), (4, 2), (3, 2), (3, 1), (2, 1), (2, 2), (1, 2)]"
2,"[(0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4)]","[(0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (2, 4), (3, 4)]"
3,"[(2, 4), (3, 4), (3, 3), (2, 3), (2, 2), (1, 2), (1, 3)]","[(2, 4), (3, 4), (3, 3), (3, 2), (2, 2), (1, 2), (1, 3)]"
4,"[(1, 2), (2, 2), (2, 3), (1, 3), (1, 4), (0, 4), (0, 3)]","[(1, 2), (2, 2), (2, 3), (2, 4), (1, 4), (0, 4), (0, 3)]"
5,"[(1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (2, 2), (1, 2)]","[(1, 0), (1, 1), (2, 1), (3, 1), (3, 2), (2, 2), (1, 2)]"
6,"[(4, 1), (4, 2), (3, 2), (3, 1), (2, 1), (2, 2), (2, 3)]","[(4, 1), (4, 2), (3, 2), (3, 1), (2, 1), (2, 2), (1, 2)]"
7,"[(4, 3), (4, 2), (3, 2), (3, 3), (2, 3), (2, 4), (3, 4)]","[(4, 3), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (3, 4)]"
8,"[(3, 0), (2, 0), (2, 1), (3, 1), (3, 2), (2, 2), (1, 2)]","[(3, 0), (2, 0), (2, 1), (3, 1), (3, 2), (2, 2), (2, 3)]"
9,"[(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (2, 2)]","[(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 3)]"
10,"[(1, 4), (1, 3), (2, 3), (2, 2), (1, 2), (1, 1), (1, 0)]","[(1, 4), (1, 3), (2, 3), (2, 2), (2, 1), (1, 1), (1, 0)]"
11,"[(0, 2), (0, 3), (1, 3), (1, 4), (2, 4), (2, 3), (3, 3)]","[(0, 2), (0, 3), (0, 4), (1, 4), (2, 4), (2, 3), (3, 3)]"
12,"[(0, 4), (1, 4), (1, 3), (0, 3), (0, 2), (1, 2), (2, 2)]","[(0, 4), (1, 4), (1, 3), (0, 3), (0, 2), (1, 2), (1, 1)]"
13,"[(1, 4), (1, 3), (0, 3), (0, 2), (1, 2), (1, 1), (1, 0)]","[(1, 4), (1, 3), (0, 3), (0, 2), (0, 1), (1, 1), (1, 0)]"
14,"[(2, 3), (2, 2), (3, 2), (3, 1), (4, 1), (4, 0), (3, 0)]","[(2, 3), (2, 2), (2, 1), (3, 1), (4, 1), (4, 0), (3, 0)]"
15,"[(3, 0), (3, 1), (2, 1), (2, 2), (3, 2), (3, 3), (3, 4)]","[(3, 0), (3, 1), (2, 1), (2, 2), (2, 3), (3, 3), (3, 4)]"
16,"[(1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (2, 2), (2, 3)]","[(1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (2, 2), (2, 3)]"
17,"[(0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2)]","[(0, 1), (1, 1), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2)]"
18,"[(2, 1), (1, 1), (1, 2), (2, 2), (2, 3), (1, 3), (0, 3)]","[(2, 1), (1, 1), (1, 2), (2, 2), (2, 3), (1, 3), (1, 4)]"
19,"[(0, 4), (0, 3), (1, 3), (1, 4), (2, 4), (2, 3), (3, 3)]","[(0, 4), (0, 3), (1, 3), (1, 4), (2, 4), (2, 3), (2, 2)]"
20,"[(3, 1), (3, 0), (2, 0), (2, 1), (1, 1), (1, 2), (1, 3)]","[(3, 1), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3)]"
21,"[(4, 0), (3, 0), (3, 1), (2, 1), (2, 2), (1, 2), (0, 2)]","[(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (1, 2), (0, 2)]"
22,"[(0, 1), (1, 1), (1, 2), (2, 2), (2, 1), (3, 1), (4, 1)]","[(0, 1), (1, 1), (1, 2), (2, 2), (3, 2), (3, 1), (4, 1)]"
23,"[(3, 2), (4, 2), (4, 1), (3, 1), (3, 0), (2, 0), (2, 1)]","[(3, 2), (4, 2), (4, 1), (4, 0), (3, 0), (2, 0), (2, 1)]"
24,"[(0, 1), (0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (2, 3)]","[(0, 1), (0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3)]"
25,"[(4, 0), (3, 0), (3, 1), (2, 1), (2, 0), (1, 0), (0, 0)]","[(4, 0), (3, 0), (3, 1), (2, 1), (1, 1), (1, 0), (0, 0)]"
26,"[(2, 3), (2, 2), (1, 2), (1, 1), (0, 1), (0, 0), (1, 0)]","[(2, 3), (2, 2), (2, 1), (1, 1), (0, 1), (0, 0), (1, 0)]"
27,"[(0, 4), (1, 4), (1, 3), (2, 3), (2, 2), (1, 2), (1, 1)]","[(0, 4), (1, 4), (2, 4), (2, 3), (2, 2), (1, 2), (1, 1)]"
28,"[(2, 2), (2, 3), (3, 3), (3, 2), (4, 2), (4, 1), (4, 0)]","[(2, 2), (2, 3), (3, 3), (4, 3), (4, 2), (4, 1), (4, 0)]"
29,"[(4, 1), (4, 0), (3, 0), (3, 1), (2, 1), (2, 2), (1, 2)]","[(4, 1), (4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (1, 2)]"
30,"[(1, 2), (1, 3), (2, 3), (2, 4), (3, 4), (3, 3), (3, 2)]","[(1, 2), (2, 2), (2, 3), (2, 4), (3, 4), (3, 3), (3, 2)]"
31,"[(2, 2), (3, 2), (3, 3), (2, 3), (2, 4), (1, 4), (0, 4)]","[(2, 2), (3, 2), (3, 3), (3, 4), (2, 4), (1, 4), (0, 4)]"
32,"[(0, 0), (0, 1), (1, 1), (1, 2), (0, 2), (0, 3), (1, 3)]","[(0, 0), (0, 1), (1, 1), (1, 2), (0, 2), (0, 3), (0, 4)]"
33,"[(3, 4), (3, 3), (2, 3), (2, 2), (3, 2), (3, 1), (3, 0)]","[(3, 4), (3, 3), (2, 3), (2, 2), (2, 1), (3, 1), (3, 0)]"
34,"[(3, 0), (2, 0), (2, 1), (1, 1), (1, 2), (0, 2), (0, 1)]","[(3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (0, 2), (0, 1)]"
35,"[(1, 1), (1, 2), (2, 2), (2, 1), (3, 1), (3, 0), (4, 0)]","[(1, 1), (1, 2), (2, 2), (3, 2), (3, 1), (3, 0), (4, 0)]"
36,"[(1, 1), (1, 2), (0, 2), (0, 3), (1, 3), (1, 4), (2, 4)]","[(1, 1), (1, 2), (0, 2), (0, 3), (0, 4), (1, 4), (2, 4)]"
37,"[(4, 4), (3, 4), (3, 3), (2, 3), (2, 4), (1, 4), (0, 4)]","[(4, 4), (3, 4), (3, 3), (2, 3), (1, 3), (1, 4), (0, 4)]"
38,"[(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (2, 2)]","[(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 3)]"
39,"[(0, 3), (0, 4), (1, 4), (1, 3), (2, 3), (2, 2), (3, 2)]","[(0, 3), (0, 4), (1, 4), (2, 4), (2, 3), (2, 2), (3, 2)]"
40,"[(0, 3), (0, 4), (1, 4), (1, 3), (2, 3), (2, 2), (1, 2)]","[(0, 3), (0, 4), (1, 4), (2, 4), (2, 3), (2, 2), (1, 2)]"
41,"[(3, 1), (3, 2), (4, 2), (4, 3), (3, 3), (3, 4), (2, 4)]","[(3, 1), (3, 2), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4)]"
42,"[(1, 4), (0, 4), (0, 3), (1, 3), (1, 2), (2, 2), (2, 1)]","[(1, 4), (0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (2, 1)]"
43,"[(0, 3), (0, 2), (1, 2), (1, 3), (2, 3), (2, 2), (3, 2)]","[(0, 3), (0, 2), (1, 2), (1, 3), (2, 3), (2, 2), (2, 1)]"
44,"[(1, 1), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (3, 3)]","[(1, 1), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3)]"
45,"[(0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (3, 1), (3, 0)]","[(0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1)]"
46,"[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (2, 0), (1, 0)]","[(0, 3), (0, 2), (0, 1), (1, 1), (2, 1), (2, 0), (1, 0)]"
47,"[(2, 2), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2)]","[(2, 2), (3, 2), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2)]"
48,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (3, 1)]","[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (2, 2)]"
49,"[(1, 4), (0, 4), (0, 3), (1, 3), (1, 2), (2, 2), (2, 1)]","[(1, 4), (0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (2, 1)]"
50,"[(2, 1), (2, 2), (1, 2), (1, 3), (2, 3), (2, 4), (1, 4)]","[(2, 1), (2, 2), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4)]"
51,"[(4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (2, 2), (1, 2)]","[(4, 3), (4, 4), (3, 4), (2, 4), (2, 3), (2, 2), (1, 2)]"
